Sort By,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort By,RPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smaller = Better?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier,RSC ID,Name,Team,Conference,SBV,IDR,RPV,GP,W,L,Win%,MVPs,Pts,Goals,Assists,Saves,Shots,Shot %,PPG,GPG,APG,SvPG,ShPG,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT
Prospect,RSC008010,WamBamTYMan-,Khans,N/A,48.5,52.9,50.7,40,17,23,0.425,8,14219,32,16,61,97,32.99%,355.48,0.80,0.40,1.53,2.43,6,2,2,4,46,47
Prospect,RSC005139,brillo_padd,Principales,N/A,51.2,48.4,49.8,38,15,23,0.395,7,11875,31,15,42,94,32.98%,312.50,0.82,0.39,1.11,2.47,4,2,1,4,23,30
Prospect,RSC006587,Enterprise15,Skeletons,N/A,50.0,48.9,49.5,40,17,23,0.425,4,13712,28,20,59,88,31.82%,342.80,0.70,0.50,1.48,2.20,5,0,1,6,52,40
Prospect,RSC006966,Pivot97,"Prism Proteges
Mop Tops",N/A,39.9,55.8,47.8,26,13,13,0.500,3,8336,21,13,32,64,32.81%,320.62,0.81,0.50,1.23,2.46,3,0,0,3,15,14
Prospect,RSC006495,Hype.56,Prism Proteges,N/A,42.2,51.2,46.7,33,14,19,0.424,2,9805,21,18,37,78,26.92%,297.12,0.64,0.55,1.12,2.36,4,0,1,3,23,40
Prospect,RSC006402,DEADLYFEET1001,Principales,N/A,46.2,46.3,46.2,20,6,14,0.300,1,6825,16,5,21,51,31.37%,341.25,0.80,0.25,1.05,2.55,1,1,0,2,22,17
Prospect,RSC006934,TPM_CheezeTV,Gloom,N/A,33.1,59.4,46.2,9,6,3,0.667,1,3091,9,3,11,19,47.37%,343.44,1.00,0.33,1.22,2.11,2,0,0,1,4,7
Prospect,RSC004106,K.Doughboy,Blacktips,N/A,43.8,48.3,46.0,40,26,14,0.650,4,12458,29,21,40,82,35.37%,311.45,0.73,0.53,1.00,2.05,3,2,1,4,47,51
Prospect,RSC003374,Raisonbran,Skeletons,N/A,41.0,50.3,45.6,32,14,18,0.438,6,10634,30,7,40,79,37.97%,332.31,0.94,0.22,1.25,2.47,4,3,0,4,25,23
Prospect,RSC007141,Cuddlingus,Skeletons,N/A,41.5,49.6,45.6,22,10,12,0.455,3,6564,15,9,19,55,27.27%,298.36,0.68,0.41,0.86,2.50,2,2,0,1,36,18
